,0
Khalid,"Khalid is American singer/songwriter from El Paso, Texas. He burst onto the music scene with his first single ""Location"", which received great critical acclaim and praised for his soulful, gentle and mellifluous voice perfectly suitable for a retro soul. Started when he was only 18, fresh from the halls of high school, his music is full of youthful innocence and poetic passion. Khalid released his debut album American Teen on March 3, 2017 via Right Hand Music Group/RCA Records, including previously released singles. <a href=""https://www.last.fm/music/Khalid"">Read more on Last.fm</a>"
Halsey,"Ashley Nicolette Frangipane (born September 29, 1994 in Edison, New Jersey), known professionally as Halsey, is an American singer and songwriter. Her stage name is a reference to the Halsey Street station of the New York City Subway in Brooklyn, and is an anagram of her first name. Halsey's music is categorized as indie pop ballads, usually based on her personal experiences. Her awards and nominations include four Billboard Music Awards, four iHeartRadio Music Awards <a href=""https://www.last.fm/music/Halsey"">Read more on Last.fm</a>"
Doja Cat,"Amala Zandile Dlamini (born October 21, 1995), known professionally as Doja Cat, is an American rapper, singer, songwriter, and record producer. Based in Los Angeles, she signed a recording contract with RCA Records in 2014, subsequently releasing her debut extended play, Purrr!, and a series of singles, including ""Go To Town"", ""So High” and ""Tia Tamera"". Doja Cat rose to prominence in 2018 with her single ""Mooo!"", which became a viral success on YouTube. <a href=""https://www.last.fm/music/Doja+Cat"">Read more on Last.fm</a>"
Linkin Park,"Linkin Park is an American rock band from Agoura Hills, California. Formed in 1996, the band rose to international fame with their debut album Hybrid Theory (2000), which was certified Diamond by the RIAA in 2005, and multi-Platinum in several other countries. Their following studio album Meteora continued the band's success, topping the Billboard 200 album chart in 2003, and was followed by extensive touring and charity work.

Having adapted nu metal and rap metal to a radio-friendly yet densely layered style in Hybrid Theory and Meteora <a href=""https://www.last.fm/music/Linkin+Park"">Read more on Last.fm</a>"
Frank Ocean,"Frank Ocean (born October 28, 1987) is an American singer/songwriter and member of the gleefully hedonistic hip-hop collective OFWGKTA. He was born Christopher Edwin Breaux in Long Beach, California. He has helped pen tracks for Justin Bieber, John Legend, Brandy, and Beyoncé over the last few years. In 2011, Ocean released his debut mixtape, Nostalgia, Ultra, for free via his Tumblr.

Venting about his decision to drop the record his own way, he took to Twitter on March 1, 2011: ""i. <a href=""https://www.last.fm/music/Frank+Ocean"">Read more on Last.fm</a>"
G-Eazy,"Gerald Earl Gillum (born May 24, 1989), better known by his stage name G-Eazy, is an American rapper and record producer from Oakland, California. His first major-label album, These Things Happen, was released on June 23, 2014. The album peaked at number 3 on the US Billboard 200. His second studio album, When It's Dark Out, was released on December 4, 2015. It featured the single ""Me, Myself & I"", which reached the top 10 of the US Billboard Hot 100. <a href=""https://www.last.fm/music/G-Eazy"">Read more on Last.fm</a>"
Jhené Aiko,"Jhené Aiko Efuru Chilombo (born March 16, 1988), better known as Jhené Aiko or simply Jhené, is an American singer-songwriter and recording artist from Los Angeles, California. Formerly signed to The Ultimate Group and Epic Records, she left both labels in order to continue her education. Aiko began her career being known as ""Lil' Fizz's cousin"", however she is not actually related to him. It was used as a marketing tool suggested by Sony and Epic to promote her through the R&B group B2K and attract an audience <a href=""https://www.last.fm/music/+noredirect/Jhen%C3%A9+Aiko"">Read more on Last.fm</a>"
Red Hot Chili Peppers,"The Red Hot Chili Peppers are a funk rock band based in Hollywood, California and were formed in 1983, in Los Angeles, California. The band currently consists of founding members Anthony Kiedis (vocals) and Michael ""Flea"" Balzary (bass) along with a longtime member Chad Smith (drums). Guitarist John Frusciante quietly left the band on good terms in late 2008. On January 2, 2010, Josh Klinghoffer was announced as Frusciante's replacement.

The band initially formed for a one-off support act for a friend's band <a href=""https://www.last.fm/music/Red+Hot+Chili+Peppers"">Read more on Last.fm</a>"
Trevor Daniel,"<a href=""https://www.last.fm/music/Trevor+Daniel"">Read more on Last.fm</a>"
Joji,"George Miller, known by his stage name Joji, is a Japanese-Australian record producer, singer, songwriter and former YouTube personality.

In 2013, on the DizastaMusic YouTube channel, Miller created the video ""Do the Harlem Shake (Original),"" which originated from a clip of the video ""Filthy Compilation #6 – Smell My Fingers"",the video has been viewed 60 million times (as of February 2019). The original clip led to the creation of the Harlem Shake meme <a href=""https://www.last.fm/music/Joji"">Read more on Last.fm</a>"
